,Unnamed: 0,County,Pollutant,Sample,Latitude,Longitude
2,3,Alameda,Ozone,0.356317992752,37.687526,-121.784217
6,7,Contra Costa,Ozone,0.360410455943,37.936013,-122.026154
10,11,Fresno,Ozone,0.464072799801,36.705506,-119.741966
14,15,Humboldt,Ozone,0.353247076166,40.776944,-124.1775
18,19,Imperial,Ozone,0.432601965469,32.676186,-115.484144
22,23,Los Angeles,Ozone,0.412432204679,34.1365,-117.92391
26,27,Orange,Ozone,0.417756154646,33.83062,-117.93845
30,31,Riverside,Ozone,0.523242889833,33.7411,-115.8206
34,35,Sacramento,Ozone,0.388479845234,38.71209,-121.38109
38,39,San Bernardino,Ozone,0.557254165362,34.895007,-117.024484
42,43,San Diego,Ozone,0.495797266209,32.631231,-117.059075
46,47,Santa Barbara,Ozone,0.426887639697,34.46245,-120.02551
50,51,Santa Clara,Ozone,0.348586014099,36.999571,-121.574684
54,55,Solano,Ozone,0.363594122898,38.102507,-122.237976
